site,burn_mean,burn_median,burn_sd,burn_min,burn_max,burn_range,burn_cv,burn_trend,dfm1000hr_mean,dfm1000hr_median,dfm1000hr_sd,dfm1000hr_min,dfm1000hr_max,dfm1000hr_range,dfm1000hr_cv,dfm1000hr_trend,dfm100hr_mean,dfm100hr_median,dfm100hr_sd,dfm100hr_min,dfm100hr_max,dfm100hr_range,dfm100hr_cv,dfm100hr_trend,energy_ERC_mean,energy_ERC_median,energy_ERC_sd,energy_ERC_min,energy_ERC_max,energy_ERC_range,energy_ERC_cv,energy_ERC_trend,maxT_mean,maxT_median,maxT_sd,maxT_min,maxT_max,maxT_range,maxT_cv,maxT_trend,maxRelH_mean,maxRelH_median,maxRelH_sd,maxRelH_min,maxRelH_max,maxRelH_range,maxRelH_cv,maxRelH_trend,vaporDeficit_mean,vaporDeficit_median,vaporDeficit_sd,vaporDeficit_min,vaporDeficit_max,vaporDeficit_range,vaporDeficit_cv,vaporDeficit_trend,minT_mean,minT_median,minT_sd,minT_min,minT_max,minT_range,minT_cv,minT_trend,minRelH_mean,minRelH_median,minRelH_sd,minRelH_min,minRelH_max,minRelH_range,minRelH_cv,minRelH_trend,specificH_mean,specificH_median,specificH_sd,specificH_min,specificH_max,specificH_range,specificH_cv,specificH_trend,precipitation_mean,precipitation_median,precipitation_sd,precipitation_min,precipitation_max,precipitation_range,precipitation_cv,precipitation_trend,alfalfa_mean,alfalfa_median,alfalfa_sd,alfalfa_min,alfalfa_max,alfalfa_range,alfalfa_cv,alfalfa_trend,grass_mean,grass_median,grass_sd,grass_min,grass_max,grass_range,grass_cv,grass_trend,sunshine_mean,sunshine_median,sunshine_sd,sunshine_min,sunshine_max,sunshine_range,sunshine_cv,sunshine_trend,windDirection_mean,windDirection_median,windDirection_sd,windDirection_min,windDirection_max,windDirection_range,windDirection_cv,windDirection_trend,windSpeed_mean,windSpeed_median,windSpeed_sd,windSpeed_min,windSpeed_max,windSpeed_range,windSpeed_cv,windSpeed_trend,palmer_p_mean,palmer_p_median,palmer_p_sd,palmer_p_min,palmer_p_max,palmer_p_range,palmer_p_cv,palmer_p_trend,palmer_z_mean,palmer_z_median,palmer_z_sd,palmer_z_min,palmer_z_max,palmer_z_range,palmer_z_cv,palmer_z_trend
site_1,24.772945205479456,24.4,8.686572380841087,5.7,57.2,51.5,0.3506475434709204,0.004728417,17.452294520547945,17.505000000000003,2.4450783872199966,8.39,25,16.61,0.14010068328500963,-0.00114411,15.802442922374428,15.69,2.9856202120154385,5.94,26.3,20.36,0.18893409244896853,-0.001141546,28.70844748858448,28.1,9.427376672385677,2.8,73.6,70.8,0.32838336786182337,0.004584242,290.4985159817352,291.895,11.213028802289658,259.27,314.78,55.50999999999999,0.038599264,0.000585825,88.12100456621005,89.31,7.591531836,52.65,100,47.35,0.086148948,-0.006229624,0.7439703196347033,0.7024999999999999,0.5089725450655384,0.04,3.954,3.914,0.6841301751331275,7.436715184972786e-05,278.02310502283103,278.405,10.592281444692738,250.95,297.26,46.31,0.038098565,0.000577775,42.49969178082192,41.225,11.113528266101602,13.65,79.16,65.50999999999999,0.26149667916219116,-0.000179348,0.0066702,0.005364,0.004253661,0.000769,0.017777,0.017008000000000002,0.6377112370765485,-6.06E-08,2.3303196347031965,1.3849999999999998,2.6243491714390337,0,13.71,13.71,1.1261756251619477,0.000521101,4.595993150684932,4.705,2.520257433206666,0.35,15.55,15.200000000000001,0.5483597017178055,0.000297343,3.354942922374429,3.385,1.9554796259532852,0.25,10.73,10.48,0.582865244,0.000182083,180.77490867579908,184.89,76.04317363,60.79,319.24,258.45,0.42065115224024524,0.003661416,184.28082191780823,184.39999999999998,42.85948632769906,50.5,320.2,269.7,0.23257703043464273,-0.012559898,4.342842465753424,4.32,0.7472230342101306,2.49,6.64,4.1499999999999995,0.17205851699723063,0.00022029,4.402397260273973,4,2.3508972749644794,0,10,10,0.5340038928740786,0.002231933,4.847031963,5,1.4212599252895455,0,10,10,0.29322272599002397,0.000447675
site_2,24.67363014,24.25,8.591868624275435,4.3,57.3,53,0.34822069458664856,0.003963813,17.467442922374428,17.54,2.4217718880589008,8.33,24.9,16.57,0.13864490062004442,-0.001163296,15.820890410958905,15.705,2.9753160120484488,5.91,26.26,20.35,0.188062488,-0.001174242,28.624657534246573,28.2,9.361782761893737,2.3,73.9,71.60000000000001,0.3270530922751928,0.004395597,290.5338242009132,292.045,11.226273086267359,259.28,314.94,55.660000000000025,0.038640159,0.000572399,88.23183789954338,89.35499999999999,7.530118879777826,52.59,100,47.41,0.08534469,-0.006370796,0.7470525114155251,0.7004999999999999,0.513061722,0.042,3.987,3.9450000000000003,0.6867813361905026,7.370072766302131e-05,278.05738584474886,278.495,10.57325128916014,250.9,297.32,46.41999999999999,0.038025429,0.000629279,42.50800228310503,41.35,11.094444555928025,13.57,79.43,65.86000000000001,0.2609966114624388,-0.00017087,0.006664968,0.0054055,0.004228709,0.00077,0.017691,0.016921,0.6344679447836357,-6.26E-08,2.3313470319634706,1.395,2.6425118659640106,0,14.7,14.7,1.1334699766848848,0.000590033,4.608036529680366,4.725,2.5355566028658907,0.37,15.62,15.25,0.5502466368342285,0.00030289,3.3604680365296797,3.39,1.9635528639267539,0.25,10.76,10.51,0.5843093410150374,0.000186166,180.6018493150685,185.125,75.95580549928877,60.63,319.04,258.41,0.42057047470638165,0.003585175,185.17100456621003,184.8,42.662081528691374,49.6,320.6,271,0.2303928826688255,-0.011333683,4.353595890410959,4.33,0.7492312444766344,2.47,6.67,4.199999999999999,0.17209480699089655,0.000222643,4.497146118721461,4,2.4395061970609206,0,10,10,0.5424565118988112,0.002627026,4.8744292237442925,5,1.4213341916172029,0,10,10,0.29158987162919664,0.000607354
site_3,25.542465753424654,25.2,8.994322173626117,3,59.1,56.1,0.3521321026894275,0.003848334,17.440479452054795,17.465,2.4368023058689605,8.15,24.7,16.549999999999997,0.13972106171552884,-0.001056061,15.814223744292237,15.74,2.9776462027652983,5.79,25.99,20.2,0.1882891156032877,-0.00107485,28.755821917808216,28.3,9.418294418749133,2.5,74.8,72.3,0.3275265247388554,0.004082022,290.65025114155253,292.03,11.276492163244036,259.48,314.97,55.49000000000001,0.038797462,0.000693577,88.50353881,89.57499999999999,7.480797993419992,52.02,100,47.98,0.084525411,-0.005705763,0.7576723744292237,0.7075,0.5220475701433114,0.038,4.028,3.9899999999999998,0.6890149195905219,7.13007562250779e-05,277.8547146118721,278.17499999999995,10.639701670201209,250.81,297.16,46.35000000000002,0.03829232,0.000493469,41.68891552511416,40.48,10.79409001738295,13.15,78.71,65.55999999999999,0.2589199042820002,-0.00042117,0.006662856,0.005359,0.004248253,0.000763,0.017571,0.016808,0.6376023792999858,-2.68E-08,2.2647260273972605,1.3650000000000002,2.5658071340496202,0,14.31,14.31,1.1329437216732028,0.000499051,4.773835616438356,4.855,2.6166596382555682,0.34,16.15,15.809999999999999,0.548125208,0.000317118,3.4526141552511413,3.5,2.006111471,0.25,11.07,10.82,0.5810413156362491,0.000195875,181.21607305936072,184.93,76.04544814410383,61.41,319.38,257.97,0.41963964266676124,0.003643654,185.72614155251142,185.5,42.77001189005976,51.5,320.8,269.3,0.23028536280643697,-0.01087593,4.661598173515982,4.645,0.7825748994432885,2.66,7.09,4.43,0.16787695342111314,0.000236317,4.4520547945205475,4,2.3064299394281873,0,10,10,0.5180596479331006,0.002052041,4.869292237442922,5,1.4129149736684283,0,10,10,0.29016844846642675,0.000452517
site_4,26.318835616438356,26.3,9.289093571215897,2.7,62.3,59.599999999999994,0.35294470114833143,0.004265855,17.281472602739726,17.345,2.4247952887144444,7.89,24.46,16.57,0.14031184404563002,-0.001197719,15.66533105022831,15.585,2.974323606772304,5.78,26.25,20.47,0.18986662951683714,-0.001197146,29.315981735159816,28.8,9.569216498830658,2.4,73.7,71.3,0.3264163753845541,0.004608611,290.32028538812784,291.62,11.288688100401334,259.35,314.91,55.56,0.038883566,0.000720876,87.70189497716895,88.885,7.465140055200888,51.46,100,48.54,0.085119484,-0.006019485,0.7470353881278539,0.698,0.519066934,0.041,4.029,3.988,0.6948358028470929,8.436473746337698e-05,277.98566210045664,278.345,10.692572845641028,250.76,297.48,46.72000000000003,0.038464476062715115,0.000581515,42.28187214611872,40.97,10.98350724616576,12.98,78.87,65.89,0.2597687067452616,-0.000770843,0.006621417,0.005383,0.004208434,0.000759,0.017393,0.016634,0.6355790930815315,-7.65E-08,2.2808333333333333,1.35,2.590390013931689,0,13.31,13.31,1.135720868366104,0.000503395,4.739611872146118,4.83,2.6330752000605906,0.36,16.05,15.690000000000001,0.5555465871656537,0.000370455,3.427819634703196,3.385,2.0163534424577656,0.25,11.02,10.77,0.5882320709188525,0.000224437,180.62861872146118,185.1,76.15891964710063,59.29,321.27,261.97999999999996,0.4216326304556516,0.003474415,187.36723744292235,186.85000000000002,43.07306140031929,50.6,322.2,271.59999999999997,0.2298857686549423,-0.008996392,4.697773972602739,4.68,0.7737474480055991,2.62,7.22,4.6,0.16470512470758883,0.000251372,4.563356164383562,4,2.494568010313296,0,10,10,0.5466520517909812,0.002640129,4.886415525114155,5,1.4451336797864185,0,10,10,0.29574514741102736,0.000594408
site_5,24.677853881278534,24.3,8.547560358853183,5.5,55.3,49.8,0.34636562806369703,0.005623173,17.34288812785388,17.32,2.4436315032258205,8.6,24.99,16.39,0.14090107052591655,-0.000934033,15.693287671232877,15.61,2.986028946876296,6.02,26.42,20.400000000000002,0.19027427581984238,-0.000906749,29.048744292237444,28.45,9.437510689384098,2.8,72.5,69.7,0.3248853235940405,0.004240343,290.6371689497717,292.025,11.145029380163068,259.31,314.83,55.51999999999998,0.038346882542367344,0.000508393,87.64810502283105,88.88,7.685037028274913,53.17,100,46.83,0.087680584,-0.005327672,0.7528264840182647,0.715,0.5099748534690146,0.036,3.96,3.924,0.6774135398996429,6.342442100471498e-05,278.2170662100457,278.78,10.464673796703618,251.24,297.03,45.789999999999964,0.037613342,0.000377084,42.617819634703196,41.285,11.34278192300533,13.48,80.29,66.81,0.26615115508558385,0.000100819,0.006690033,0.0053565,0.004244596,0.000781,0.017764,0.016982999999999998,0.6344656194501708,-6.41E-08,2.2797260273972606,1.355,2.589696376450198,0,13.77,13.77,1.1359682458891025,0.00033748,4.594771689497717,4.720000000000001,2.5025758999656587,0.35,15.43,15.08,0.5446572907389073,0.000253653,3.3595433789954336,3.395,1.9478506528803694,0.26,10.67,10.41,0.5797962500078845,0.00015626,181.1150799086758,185.16,76.10968054681888,61.49,319.68,258.19,0.42022829123447863,0.003787512,184.28082191780823,184.39999999999998,42.85948632769906,50.5,320.2,269.7,0.23257703043464273,-0.012559898,4.240445205479452,4.21,0.732319863,2.38,6.45,4.07,0.17269881521495645,0.000211807,4.274543378995434,4,2.2797305970553245,0,10,10,0.5333272808173226,0.001643313,4.812785388127854,5,1.3997295905082823,0,10,10,0.29083565495380814,0.000307167
site_6,25.94931506849315,25.7,9.156000202791459,5.2,61.9,56.699999999999996,0.3528416907584736,0.003930248,17.36068493150685,17.415,2.4385894916838757,8.08,24.68,16.6,0.1404662028776427,-0.001058909,15.716358447488583,15.65,2.992202516,5.87,26.35,20.48,0.1903877749794758,-0.001078237,29.01849315068493,28.6,9.496168442114078,2.1,73.2,71.10000000000001,0.32724540150321135,0.004123017,290.30085616438356,291.66,11.219949233248023,259.35,314.77,55.41999999999996,0.038649383889156355,0.000652569,87.80388127853882,88.91,7.499324794846486,51.55,100,48.45,0.085409946,-0.005607346,0.7417168949771689,0.693,0.5129595609555854,0.042,3.992,3.95,0.6915840321681967,7.562836301481432e-05,277.9579908675799,278.31,10.72602141807967,250.86,297.43,46.56999999999999,0.038588642062784166,0.00048056,42.30203196347032,41.05,10.91004102587121,13.24,78.25,65.01,0.25790820250177376,-0.000558138,0.006626997,0.0053885,0.00421363,0.000762,0.017418,0.016656,0.63582793,-6.64E-08,2.3473858447488585,1.4,2.7047505378737604,0,14.88,14.88,1.1522394343155526,0.000572018,4.729006849315069,4.8100000000000005,2.6169455765525615,0.36,16.01,15.650000000000002,0.553381642,0.000330571,3.4226712328767124,3.375,2.004774366799215,0.25,10.99,10.74,0.5857338407329958,0.000203212,180.77068493150685,185.34500000000003,76.11624720349562,59.81,320.21,260.4,0.42106521437552613,0.003460095,187.36723744292235,186.85000000000002,43.07306140031929,50.6,322.2,271.59999999999997,0.2298857686549423,-0.008996392,4.717089041095891,4.705,0.7805230925525242,2.65,7.24,4.59,0.16546711027765343,0.000250595,4.514269406392694,4,2.5725925555945626,0,10,10,0.5698801564548834,0.002648501,4.8755707762557075,5,1.4541851170259454,0,10,10,0.29825946207322135,0.000611076
site_7,26.318835616438356,26.3,9.289093571215897,2.7,62.3,59.599999999999994,0.35294470114833143,0.004265855,17.281472602739726,17.345,2.4247952887144444,7.89,24.46,16.57,0.14031184404563002,-0.001197719,15.66533105022831,15.585,2.974323606772304,5.78,26.25,20.47,0.18986662951683714,-0.001197146,29.315981735159816,28.8,9.569216498830658,2.4,73.7,71.3,0.3264163753845541,0.004608611,290.32028538812784,291.62,11.288688100401334,259.35,314.91,55.56,0.038883566,0.000720876,87.70189497716895,88.885,7.465140055200888,51.46,100,48.54,0.085119484,-0.006019485,0.7470353881278539,0.698,0.519066934,0.041,4.029,3.988,0.6948358028470929,8.436473746337698e-05,277.98566210045664,278.345,10.692572845641028,250.76,297.48,46.72000000000003,0.038464476062715115,0.000581515,42.28187214611872,40.97,10.98350724616576,12.98,78.87,65.89,0.2597687067452616,-0.000770843,0.006621417,0.005383,0.004208434,0.000759,0.017393,0.016634,0.6355790930815315,-7.65E-08,2.2808333333333333,1.35,2.590390013931689,0,13.31,13.31,1.135720868366104,0.000503395,4.739611872146118,4.83,2.6330752000605906,0.36,16.05,15.690000000000001,0.5555465871656537,0.000370455,3.427819634703196,3.385,2.0163534424577656,0.25,11.02,10.77,0.5882320709188525,0.000224437,180.62861872146118,185.1,76.15891964710063,59.29,321.27,261.97999999999996,0.4216326304556516,0.003474415,187.36723744292235,186.85000000000002,43.07306140031929,50.6,322.2,271.59999999999997,0.2298857686549423,-0.008996392,4.697773972602739,4.68,0.7737474480055991,2.62,7.22,4.6,0.16470512470758883,0.000251372,4.563356164383562,4,2.494568010313296,0,10,10,0.5466520517909812,0.002640129,4.886415525114155,5,1.4451336797864185,0,10,10,0.29574514741102736,0.000594408
site_8,25.219977168949768,24.9,8.925663348430994,5.4,59,53.6,0.35391242778046833,0.003771542,17.431175799086756,17.485,2.447359561440852,8.18,24.84,16.66,0.14040128960027315,-0.00117389,15.797340182648403,15.7,2.988744697362243,5.82,26.2,20.38,0.18919290607193748,-0.001173717,28.749086757990867,28.2,9.453560445782431,2.4,74.7,72.3,0.3288299390294474,0.004373979,290.6168378995434,292.065,11.25610800910049,259.46,314.95,55.49000000000001,0.038731782,0.000685801,88.35095890410959,89.37,7.516775378724679,52.07,100,47.93,0.085078594,-0.005959197,0.7528835616438357,0.7075,0.5185935406604212,0.041,4.019,3.978,0.6888097536996705,7.730834748419603e-05,277.97341324200914,278.36,10.634928329066955,250.79,297.32,46.53,0.038258797,0.000558805,42.005388127853884,40.79,10.905010722948493,13.23,79.16,65.92999999999999,0.2596098074312841,-0.000458387,0.00667654,0.0054205,0.00424502,0.000767,0.017629,0.016862,0.6358114366435138,-4.54E-08,2.2973173515981737,1.39,2.6222310457468905,0,15.63,15.63,1.1414317851744271,0.000549692,4.7181278538812785,4.81,2.592355404,0.37,15.98,15.610000000000001,0.5494457726242958,0.000330377,3.4205936073059355,3.46,1.9930624800685128,0.25,10.98,10.73,0.582665674,0.00020291,180.97494292237442,185.14499999999998,76.03318602460071,61.05,319.19,258.14,0.4201310125966644,0.003605156,186.69086757990868,186.9,42.85534934,50.2,321.1,270.90000000000003,0.22955246763218004,-0.010759371,4.571347032,4.5649999999999995,0.7726355967812804,2.6,7.01,4.41,0.16901705151214924,0.000233956,4.482876712328767,4,2.4213055345514465,0,10,10,0.5401231597318735,0.002419786,4.872716894977169,5,1.4437939674026095,0,10,10,0.2963016318249235,0.000527162
site_9,24.952625570776256,24.65,8.738755590515257,5.4,57.7,52.300000000000004,0.3502138709102347,0.004218024,17.449668949771688,17.5,2.445211237383915,8.3,24.97,16.669999999999998,0.14012937691954944,-0.001115786,15.803059360730593,15.715,2.982651972059536,5.88,26.27,20.39,0.1887388956768207,-0.001126245,28.704908675799086,28.2,9.428083285785858,2.7,73.9,71.2,0.32844846824872886,0.004412301,290.5179452054794,291.93,11.218390717851086,259.38,314.79,55.410000000000025,0.038615139,0.000605591,88.20537671232877,89.25999999999999,7.552926794865028,52.37,100,47.63,0.085628871,-0.006083855,0.7468504566210046,0.7035,0.5117065340132431,0.04,3.97,3.93,0.6851526024746246,7.381785887220041e-05,277.96995433789954,278.315,10.620813308799884,250.85,297.24,46.390000000000015,0.038208494,0.000552413,42.275148401826485,41.035,10.999443504017293,13.51,78.53,65.02,0.26018698738718243,-0.000208134,0.006662239,0.0053635,0.004251885,0.00077,0.017694,0.016924,0.6382067281634256,-4.99E-08,2.3129452054794517,1.395,2.6081721326840928,0,14.3,14.3,1.127641125,0.00053247,4.650034246575342,4.755,2.546210071738147,0.35,15.73,15.38,0.5475680256792474,0.000301415,3.3838698630136985,3.42,1.9691528035899812,0.25,10.85,10.6,0.5819233254544369,0.000189632,180.92260273972605,184.84,76.04565054453626,61,319.29,258.29,0.42032144902279006,0.003656501,184.28082191780823,184.39999999999998,42.85948632769906,50.5,320.2,269.7,0.23257703043464273,-0.012559898,4.4493036529680365,4.43,0.7583860500731537,2.57,6.79,4.220000000000001,0.1704505039945409,0.000224088,4.410958904109589,4,2.3222309563756753,0,10,10,0.5264685087435538,0.00218763,4.853310502283105,5,1.427430395404735,0,10,10,0.2941147892213449,0.000507142
site_10,24.952625570776256,24.65,8.738755590515257,5.4,57.7,52.300000000000004,0.3502138709102347,0.004218024,17.449668949771688,17.5,2.445211237383915,8.3,24.97,16.669999999999998,0.14012937691954944,-0.001115786,15.803059360730593,15.715,2.982651972059536,5.88,26.27,20.39,0.1887388956768207,-0.001126245,28.704908675799086,28.2,9.428083285785858,2.7,73.9,71.2,0.32844846824872886,0.004412301,290.5179452054794,291.93,11.218390717851086,259.38,314.79,55.410000000000025,0.038615139,0.000605591,88.20537671232877,89.25999999999999,7.552926794865028,52.37,100,47.63,0.085628871,-0.006083855,0.7468504566210046,0.7035,0.5117065340132431,0.04,3.97,3.93,0.6851526024746246,7.381785887220041e-05,277.96995433789954,278.315,10.620813308799884,250.85,297.24,46.390000000000015,0.038208494,0.000552413,42.275148401826485,41.035,10.999443504017293,13.51,78.53,65.02,0.26018698738718243,-0.000208134,0.006662239,0.0053635,0.004251885,0.00077,0.017694,0.016924,0.6382067281634256,-4.99E-08,2.3129452054794517,1.395,2.6081721326840928,0,14.3,14.3,1.127641125,0.00053247,4.650034246575342,4.755,2.546210071738147,0.35,15.73,15.38,0.5475680256792474,0.000301415,3.3838698630136985,3.42,1.9691528035899812,0.25,10.85,10.6,0.5819233254544369,0.000189632,180.92260273972605,184.84,76.04565054453626,61,319.29,258.29,0.42032144902279006,0.003656501,184.28082191780823,184.39999999999998,42.85948632769906,50.5,320.2,269.7,0.23257703043464273,-0.012559898,4.4493036529680365,4.43,0.7583860500731537,2.57,6.79,4.220000000000001,0.1704505039945409,0.000224088,4.410958904109589,4,2.3222309563756753,0,10,10,0.5264685087435538,0.00218763,4.853310502283105,5,1.427430395404735,0,10,10,0.2941147892213449,0.000507142
