Site_N,eco_Number,eco_Letter,Title,State
1,33,a,Northern Post Oak Savana,TX
2,33,a,Northern Post Oak Savana,TX
3,33,a,Northern Post Oak Savana,TX
4,32,a,Northern Black Land Prairie,TX
5,35,c,Pleistocene Fluvial Terraces,TX
6,35,c,Pleistocene Fluvial Terraces,TX
7,35,c,Pleistocene Fluvial Terraces,TX
8,33,a,Northern Post Oak Savana,TX
9,33,a,Northern Post Oak Savana,TX
10,33,a,Northern Post Oak Savana,TX
11,33,a,Northern Post Oak Savana,TX
12,33,a,Northern Post Oak Savana,TX
13,33,a,Northern Post Oak Savana,TX
14,32,a,Northern Black Land Prairie,TX
15,32,a,Northern Black Land Prairie,TX
16,32,a,Northern Black Land Prairie,TX
17,33,a,Northern Post Oak Savana,TX
18,33,a,Northern Post Oak Savana,TX
19,33,a,Northern Post Oak Savana,TX
20,33,a,Northern Post Oak Savana,TX
21,32,a,Northern Black Land Prairie,TX
22,33,a,Northern Post Oak Savana,TX
23,33,a,Northern Post Oak Savana,TX
24,35,c,Pleistocene Fluvial Terraces,TX
25,35,g,Red River Bottomlands,TX
26,35,c,Pleistocene Fluvial Terraces,TX
27,35,c,Pleistocene Fluvial Terraces,TX
28,35,g,Red River Bottomlands,TX
29,33,a,Northern Post Oak Savana,TX
30,35,g,Red River Bottomlands,TX
31,35,g,Red River Bottomlands,TX
32,32,a,Northern Black Land Prairie,TX
33,32,a,Northern Black Land Prairie,TX
34,32,a,Northern Black Land Prairie,TX
35,29,g,Arbuckle Uplift,OK
36,29,g,Arbuckle Uplift,OK
37,29,b,Eastern Cross Timbers,OK
38,36,a,Athens Plateau,OK
39,36,b,Central Mountain Ranges,OK
40,36,b,Central Mountain Ranges,OK
41,36,f,Western Ouachita Valleys,OK
42,36,f,Western Ouachita Valleys,OK
43,35,h,Blackland Prairie,OK
44,37,e,Lower Canadian Hills,OK
45,35,d,Fourche Mountains,OK
46,36,e,Western Ouachitas,OK
