SiteN,State,Etheostoma_radiosum,Lepomis_megalotis,Lepomis_macrochirus,Lepomis_gulosus,Lepomis_cyanellus,Lepomis_marginatus,Lepomis_humilis,Lepomis_microlophus,Lepomis_spp,Micopterus_punctulatus,Micropterous_salmoides ,Etheostoma_parvipinne,Etheostoma_spectabile,Etheostomas_chlorosoma ,Etheostoma_gracile,Percina_sciera,Percina_phoxoxephala,Percina_caprodes,Fundulus_notatus,Fundulus_olivaceus,Campostoma_spacideum,Campostoma_anomalum,Nototropis_boops,Notropis_stramineus,Notropis_texanus,Notropis_volucellus,Cyprinella_venusta,Cyprinella_lutrensis,Pimephales_vigilax,Pimephales_notatus,Gambusia_affinis,Noturus_eleutherus,Noturus_sp,Ameiurus_natalis,Erimyzon_oblongus,Ictalurus_punctatus,Esox_americanus,Semotilus_atromaculatus,Lepisosteus_oculatus,Labidesthes_sicculus,Notemigonus_crysoleucas,Dorosoma_cepedianum,Cyprinus_carpio,Macrohybopsis_storeriana,Minytrema_melanops,Aplodinotus_grunniens,Phenocobius_mirabalis,Ellasoma_zonatum,Aphredoderus_sayanus,Lyrthrus_umbratilis,Lyrthrus_fumeus,Moxostoma_erythrurum
1,1,0,6,5,1,6,0,0,0,0,0,5,0,0,0,0,2,0,1,8,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,1,0,24,12,3,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,1,0,43,54,3,60,0,0,0,0,0,0,0,0,0,5,3,0,0,27,0,0,36,0,3,0,0,0,39,17,0,12,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
5,1,0,16,16,0,0,0,11,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,9,13,0,0,12,0,0,0,0,1,0,0,0,32,0,0,0,0,1,1,0,0,0,0,0,0
6,1,0,0,12,0,10,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,18,43,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,0,21,6,0,20,0,2,0,0,0,0,0,0,0,4,2,0,1,19,0,0,17,0,2,0,0,0,2,17,0,44,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,0,18,19,11,2,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,0,30,5,4,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,11,16,26,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10,1,0,1,8,1,8,0,1,0,0,0,5,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,94,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,0,28,14,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,17,3,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,4,0,0,0,1,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,32,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,13,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,0,22,0,21,2,0,0,0,0,0,0,0,0,0,0,1,0,0,14,0,0,0,0,5,0,0,0,2,0,6,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1,0,17,0,0,5,0,0,0,16,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,53,0,0,0,0,0,31,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1,5,31,5,5,6,0,7,0,13,0,1,0,0,0,0,15,3,1,0,0,0,0,0,0,3,0,0,55,16,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1,0,13,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,9,0,0,17,0,22,31,0,0,60,12,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
22,1,19,27,13,0,30,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,75,1,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1,0,0,0,16,0,7,0,0,13,0,0,0,0,4,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,4,5,0,0,0,1,0,0,1,0,0,0,0
25,1,0,0,4,1,1,12,0,5,0,0,1,0,0,0,1,3,0,0,43,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,19,0,0,0,0,1,0,0,0,3,1,0,0
26,1,0,0,8,0,0,5,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
27,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,92,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
28,1,0,16,6,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,63,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29,1,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,157,119,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
