SiteN,State,Ameiurus,Aphredoderus,Aplodinotus,Campostoma,Cyprinella,Cyprinus,Dorosoma,Ellasoma,Erimyzon,Esox,Etheostoma,Fundulus,Gambusia,Ictalurus,Labidesthes,Lepisosteus,Lepomis,Lythrus,Macrohybopsis,Micropterus,Minytrema,Moxostoma,Nototropis,Notemigonus,Notropis,Noturus,Percina,Phenocobius,Pimephales,Semotilus
1,TX,0,0,0,1,0,0,0,0,0,0,0,8,6,0,1,1,18,0,0,5,0,0,0,0,0,0,3,0,0,0
2,TX,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,TX,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,21,0
4,TX,0,0,0,36,39,1,0,0,0,0,5,27,12,0,0,0,160,0,1,0,0,0,0,0,3,0,3,0,17,0
5,TX,0,0,1,0,22,0,0,0,0,0,0,0,12,1,32,0,43,0,0,1,1,0,0,0,6,0,1,0,0,0
6,TX,0,0,0,0,18,0,0,0,0,0,3,0,18,0,0,0,23,0,0,0,0,0,0,0,0,0,1,0,43,0
7,TX,0,0,0,17,2,0,0,0,0,0,4,19,44,0,0,0,49,0,0,0,0,0,0,0,2,3,3,0,17,0
8,TX,0,0,0,0,0,0,0,0,0,0,0,6,20,0,0,0,50,0,0,5,0,0,0,0,0,0,0,0,0,0
9,TX,0,0,1,1,27,0,0,0,0,0,0,0,170,0,0,0,42,0,0,0,0,0,0,0,0,0,1,0,26,0
10,TX,1,0,0,0,0,0,0,0,0,0,1,13,94,0,0,0,19,0,0,5,0,0,0,0,0,1,0,0,0,0
11,TX,0,0,0,3,0,0,0,0,0,0,0,13,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0
12,TX,0,0,0,2,1,0,0,0,0,0,17,1,3,0,0,0,7,0,0,1,0,0,0,0,4,0,0,0,13,0
13,TX,0,0,0,24,2,0,0,0,0,0,32,0,2,0,0,0,6,0,0,0,0,0,0,0,13,1,0,0,0,0
14,TX,0,0,0,0,2,0,0,0,0,0,0,14,23,0,0,0,45,0,0,0,0,0,0,0,5,0,1,0,6,0
15,TX,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,38,0,0,0,0,0,0,0,0,1,0,0,0,0
