SiteN,State,Lat,Long,DO,pH,avg_WW,avg_Depth,pflow_Pool,pflow_Run,pflow_Riffle,pbottom_Mud,pbottom_Sand,pbottom_SmGravel,pbottom_LgGravel,pbottom_Cobble,pbottom_Boulder,pbottom_Bedrock,pfloat_macrophytes ,pfloat_wood ,upstreamCumDA_km2,slopePercent,avgMonthFlow_cfs,CV_flow,maxMonthFlow_cfs,minMonthFlow_cfs,Ameiurus,Aphredoderus,Aplodinotus,Campostoma,Cyprinella,Cyprinus,Dorosoma,Ellasoma,Erimyzon,Esox,Etheostoma,Fundulus,Gambusia,Ictalurus,Labidesthes,Lepisosteus,Lepomis,Lythrus,Macrohybopsis,Micropterus,Minytrema,Moxostoma,Nototropis,Notemigonus,Notropis,Noturus,Percina,Phenocobius,Pimephales,Semotilus,t_population,t_species,burn_mean,burn_median,burn_sd,burn_min,burn_max,burn_range,burn_cv,burn_trend,dfm1000hr_mean,dfm1000hr_median,dfm1000hr_sd,dfm1000hr_min,dfm1000hr_max,dfm1000hr_range,dfm1000hr_cv,dfm1000hr_trend,dfm100hr_mean,dfm100hr_median,dfm100hr_sd,dfm100hr_min,dfm100hr_max,dfm100hr_range,dfm100hr_cv,dfm100hr_trend,energy_ERC_mean,energy_ERC_median,energy_ERC_sd,energy_ERC_min,energy_ERC_max,energy_ERC_range,energy_ERC_cv,energy_ERC_trend,maxT_mean,maxT_median,maxT_sd,maxT_min,maxT_max,maxT_range,maxT_cv,maxT_trend,maxRelH_mean,maxRelH_median,maxRelH_sd,maxRelH_min,maxRelH_max,maxRelH_range,maxRelH_cv,maxRelH_trend,vaporDeficit_mean,vaporDeficit_median,vaporDeficit_sd,vaporDeficit_min,vaporDeficit_max,vaporDeficit_range,vaporDeficit_cv,vaporDeficit_trend,minT_mean,minT_median,minT_sd,minT_min,minT_max,minT_range,minT_cv,minT_trend,minRelH_mean,minRelH_median,minRelH_sd,minRelH_min,minRelH_max,minRelH_range,minRelH_cv,minRelH_trend,specificH_mean,specificH_median,specificH_sd,specificH_min,specificH_max,specificH_range,specificH_cv,specificH_trend,precipitation_mean,precipitation_median,precipitation_sd,precipitation_min,precipitation_max,precipitation_range,precipitation_cv,precipitation_trend,alfalfa_mean,alfalfa_median,alfalfa_sd,alfalfa_min,alfalfa_max,alfalfa_range,alfalfa_cv,alfalfa_trend,grass_mean,grass_median,grass_sd,grass_min,grass_max,grass_range,grass_cv,grass_trend,sunshine_mean,sunshine_median,sunshine_sd,sunshine_min,sunshine_max,sunshine_range,sunshine_cv,sunshine_trend,windDirection_mean,windDirection_median,windDirection_sd,windDirection_min,windDirection_max,windDirection_range,windDirection_cv,windDirection_trend,windSpeed_mean,windSpeed_median,windSpeed_sd,windSpeed_min,windSpeed_max,windSpeed_range,windSpeed_cv,windSpeed_trend,palmer_p_mean,palmer_p_median,palmer_p_sd,palmer_p_min,palmer_p_max,palmer_p_range,palmer_p_cv,palmer_p_trend,palmer_z_mean,palmer_z_median,palmer_z_sd,palmer_z_min,palmer_z_max,palmer_z_range,palmer_z_cv,palmer_z_trend
1,TX,33.741217,-95.927376,10.7,6.99,5.76666,23.75,0,83.33333333,16.66667,48.3,0,9.2,12.5,8.3,7.5,14.2,83.33333333,16.66666667,32.779,0.39,10.38833333,0.692725676,21.57,2.64,0,0,0,1,0,0,0,0,0,0,0,8,6,0,1,1,18,0,0,5,0,0,0,0,0,0,3,0,0,0,43,8,24.77294521,24.4,8.686572381,5.7,57.2,51.5,0.350647543,0.004728417,17.45229452,17.505,2.445078387,8.39,25,16.61,0.140100683,-0.00114411,15.80244292,15.69,2.985620212,5.94,26.3,20.36,0.188934092,-0.001141546,28.70844749,28.1,9.427376672,2.8,73.6,70.8,0.328383368,0.004584242,290.498516,291.895,11.2130288,259.27,314.78,55.51,0.038599264,0.000585825,88.12100457,89.31,7.591531836,52.65,100,47.35,0.086148948,-0.006229624,0.74397032,0.7025,0.508972545,0.04,3.954,3.914,0.684130175,7.44E-05,278.023105,278.405,10.59228144,250.95,297.26,46.31,0.038098565,0.000577775,42.49969178,41.225,11.11352827,13.65,79.16,65.51,0.261496679,-0.000179348,0.0066702,0.005364,0.004253661,0.000769,0.017777,0.017008,0.637711237,-6.06E-08,2.330319635,1.385,2.624349171,0,13.71,13.71,1.126175625,0.000521101,4.595993151,4.705,2.520257433,0.35,15.55,15.2,0.548359702,0.000297343,3.354942922,3.385,1.955479626,0.25,10.73,10.48,0.582865244,0.000182083,180.7749087,184.89,76.04317363,60.79,319.24,258.45,0.420651152,0.003661416,184.2808219,184.4,42.85948633,50.5,320.2,269.7,0.23257703,-0.012559898,4.342842466,4.32,0.747223034,2.49,6.64,4.15,0.172058517,0.00022029,4.40239726,4,2.350897275,0,10,10,0.534003893,0.002231933,4.847031963,5,1.421259925,0,10,10,0.293222726,0.000447675
2,TX,33.717896,-95.911323,4.2,7.22,2.94,27,60,20,20,77,19,4,0,0,0,0,60,40,12.236,0.4,3.88,0.699499402,8.09,0.99,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,3,24.67363014,24.25,8.591868624,4.3,57.3,53,0.348220695,0.003963813,17.46744292,17.54,2.421771888,8.33,24.9,16.57,0.138644901,-0.001163296,15.82089041,15.705,2.975316012,5.91,26.26,20.35,0.188062488,-0.001174242,28.62465753,28.2,9.361782762,2.3,73.9,71.6,0.327053092,0.004395597,290.5338242,292.045,11.22627309,259.28,314.94,55.66,0.038640159,0.000572399,88.2318379,89.355,7.53011888,52.59,100,47.41,0.08534469,-0.006370796,0.747052511,0.7005,0.513061722,0.042,3.987,3.945,0.686781336,7.37E-05,278.0573858,278.495,10.57325129,250.9,297.32,46.42,0.038025429,0.000629279,42.50800228,41.35,11.09444456,13.57,79.43,65.86,0.260996611,-0.00017087,0.006664968,0.0054055,0.004228709,0.00077,0.017691,0.016921,0.634467945,-6.26E-08,2.331347032,1.395,2.642511866,0,14.7,14.7,1.133469977,0.000590033,4.60803653,4.725,2.535556603,0.37,15.62,15.25,0.550246637,0.00030289,3.360468037,3.39,1.963552864,0.25,10.76,10.51,0.584309341,0.000186166,180.6018493,185.125,75.9558055,60.63,319.04,258.41,0.420570475,0.003585175,185.1710046,184.8,42.66208153,49.6,320.6,271,0.230392883,-0.011333683,4.35359589,4.33,0.749231244,2.47,6.67,4.2,0.172094807,0.000222643,4.497146119,4,2.439506197,0,10,10,0.542456512,0.002627026,4.874429224,5,1.421334192,0,10,10,0.291589872,0.000607354
3,TX,33.747466,-96.019146,7.4,7.58,11.21666,46.33333,66.66666667,33.33333,0,58.3,41.7,0,0,0,0,0,83.33333333,100,82.772,0.06,25.1325,0.667961376,51.49,6.68,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,21,0,78,5,25.54246575,25.2,8.994322174,3,59.1,56.1,0.352132103,0.003848334,17.44047945,17.465,2.436802306,8.15,24.7,16.55,0.139721062,-0.001056061,15.81422374,15.74,2.977646203,5.79,25.99,20.2,0.188289116,-0.00107485,28.75582192,28.3,9.418294419,2.5,74.8,72.3,0.327526525,0.004082022,290.6502511,292.03,11.27649216,259.48,314.97,55.49,0.038797462,0.000693577,88.50353881,89.575,7.480797993,52.02,100,47.98,0.084525411,-0.005705763,0.757672374,0.7075,0.52204757,0.038,4.028,3.99,0.68901492,7.13E-05,277.8547146,278.175,10.63970167,250.81,297.16,46.35,0.03829232,0.000493469,41.68891553,40.48,10.79409002,13.15,78.71,65.56,0.258919904,-0.00042117,0.006662856,0.005359,0.004248253,0.000763,0.017571,0.016808,0.637602379,-2.68E-08,2.264726027,1.365,2.565807134,0,14.31,14.31,1.132943722,0.000499051,4.773835616,4.855,2.616659638,0.34,16.15,15.81,0.548125208,0.000317118,3.452614155,3.5,2.006111471,0.25,11.07,10.82,0.581041316,0.000195875,181.2160731,184.93,76.04544814,61.41,319.38,257.97,0.419639643,0.003643654,185.7261416,185.5,42.77001189,51.5,320.8,269.3,0.230285363,-0.01087593,4.661598174,4.645,0.782574899,2.66,7.09,4.43,0.167876953,0.000236317,4.452054795,4,2.306429939,0,10,10,0.518059648,0.002052041,4.869292237,5,1.412914974,0,10,10,0.290168448,0.000452517
4,TX,33.554952,-96.169601,7.7,7.86,10.51666,18.41666,0,66.66667,33.33333,20,13.3,35,22.5,9.2,0,0,50,83.333333,357.967,0.11,99.75583333,0.680473828,209.81,24.78,0,0,0,36,39,1,0,0,0,0,5,27,12,0,0,0,160,0,1,0,0,0,0,0,3,0,3,0,17,0,304,11,26.31883562,26.3,9.289093571,2.7,62.3,59.6,0.352944701,0.004265855,17.2814726,17.345,2.424795289,7.89,24.46,16.57,0.140311844,-0.001197719,15.66533105,15.585,2.974323607,5.78,26.25,20.47,0.18986663,-0.001197146,29.31598174,28.8,9.569216499,2.4,73.7,71.3,0.326416375,0.004608611,290.3202854,291.62,11.2886881,259.35,314.91,55.56,0.038883566,0.000720876,87.70189498,88.885,7.465140055,51.46,100,48.54,0.085119484,-0.006019485,0.747035388,0.698,0.519066934,0.041,4.029,3.988,0.694835803,8.44E-05,277.9856621,278.345,10.69257285,250.76,297.48,46.72,0.038464476,0.000581515,42.28187215,40.97,10.98350725,12.98,78.87,65.89,0.259768707,-0.000770843,0.006621417,0.005383,0.004208434,0.000759,0.017393,0.016634,0.635579093,-7.65E-08,2.280833333,1.35,2.590390014,0,13.31,13.31,1.135720868,0.000503395,4.739611872,4.83,2.6330752,0.36,16.05,15.69,0.555546587,0.000370455,3.427819635,3.385,2.016353442,0.25,11.02,10.77,0.588232071,0.000224437,180.6286187,185.1,76.15891965,59.29,321.27,261.98,0.42163263,0.003474415,187.3672374,186.85,43.0730614,50.6,322.2,271.6,0.229885769,-0.008996392,4.697773973,4.68,0.773747448,2.62,7.22,4.6,0.164705125,0.000251372,4.563356164,4,2.49456801,0,10,10,0.546652052,0.002640129,4.886415525,5,1.44513368,0,10,10,0.295745147,0.000594408
5,TX,33.823594,-95.861067,6.8,7.42,22,39.66666,100,0,0,95,0,1.7,0,1.7,1.7,0,100,100,1093.994,0.01,326.1491667,0.681051439,678.26,84.03,0,0,1,0,22,0,0,0,0,0,0,0,12,1,32,0,43,0,0,1,1,0,0,0,6,0,1,0,0,0,120,10,24.67785388,24.3,8.547560359,5.5,55.3,49.8,0.346365628,0.005623173,17.34288813,17.32,2.443631503,8.6,24.99,16.39,0.140901071,-0.000934033,15.69328767,15.61,2.986028947,6.02,26.42,20.4,0.190274276,-0.000906749,29.04874429,28.45,9.437510689,2.8,72.5,69.7,0.324885324,0.004240343,290.6371689,292.025,11.14502938,259.31,314.83,55.52,0.038346883,0.000508393,87.64810502,88.88,7.685037028,53.17,100,46.83,0.087680584,-0.005327672,0.752826484,0.715,0.509974853,0.036,3.96,3.924,0.67741354,6.34E-05,278.2170662,278.78,10.4646738,251.24,297.03,45.79,0.037613342,0.000377084,42.61781963,41.285,11.34278192,13.48,80.29,66.81,0.266151155,0.000100819,0.006690033,0.0053565,0.004244596,0.000781,0.017764,0.016983,0.634465619,-6.41E-08,2.279726027,1.355,2.589696376,0,13.77,13.77,1.135968246,0.00033748,4.594771689,4.72,2.5025759,0.35,15.43,15.08,0.544657291,0.000253653,3.359543379,3.395,1.947850653,0.26,10.67,10.41,0.57979625,0.00015626,181.1150799,185.16,76.10968055,61.49,319.68,258.19,0.420228291,0.003787512,184.2808219,184.4,42.85948633,50.5,320.2,269.7,0.23257703,-0.012559898,4.240445205,4.21,0.732319863,2.38,6.45,4.07,0.172698815,0.000211807,4.274543379,4,2.279730597,0,10,10,0.533327281,0.001643313,4.812785388,5,1.399729591,0,10,10,0.290835655,0.000307167
6,TX,33.603081,-96.139938,4.4,7.14,9.21666,27.33333,0,83.333333,16.66667,90,10,0,0,0,0,0,33.33333333,100,394.237,0.09,110.365,0.680785408,232.1,27.61,0,0,0,0,18,0,0,0,0,0,3,0,18,0,0,0,23,0,0,0,0,0,0,0,0,0,1,0,43,0,106,6,25.94931507,25.7,9.156000203,5.2,61.9,56.7,0.352841691,0.003930248,17.36068493,17.415,2.438589492,8.08,24.68,16.6,0.140466203,-0.001058909,15.71635845,15.65,2.992202516,5.87,26.35,20.48,0.190387775,-0.001078237,29.01849315,28.6,9.496168442,2.1,73.2,71.1,0.327245402,0.004123017,290.3008562,291.66,11.21994923,259.35,314.77,55.42,0.038649384,0.000652569,87.80388128,88.91,7.499324795,51.55,100,48.45,0.085409946,-0.005607346,0.741716895,0.693,0.512959561,0.042,3.992,3.95,0.691584032,7.56E-05,277.9579909,278.31,10.72602142,250.86,297.43,46.57,0.038588642,0.00048056,42.30203196,41.05,10.91004103,13.24,78.25,65.01,0.257908203,-0.000558138,0.006626997,0.0053885,0.00421363,0.000762,0.017418,0.016656,0.63582793,-6.64E-08,2.347385845,1.4,2.704750538,0,14.88,14.88,1.152239434,0.000572018,4.729006849,4.81,2.616945577,0.36,16.01,15.65,0.553381642,0.000330571,3.422671233,3.375,2.004774367,0.25,10.99,10.74,0.585733841,0.000203212,180.7706849,185.345,76.1162472,59.81,320.21,260.4,0.421065214,0.003460095,187.3672374,186.85,43.0730614,50.6,322.2,271.6,0.229885769,-0.008996392,4.717089041,4.705,0.780523093,2.65,7.24,4.59,0.16546711,0.000250595,4.514269406,4,2.572592556,0,10,10,0.569880156,0.002648501,4.875570776,5,1.454185117,0,10,10,0.298259462,0.000611076
7,TX,33.540313,-96.179298,8.1,8.02,11.65,27.08333,0,50,50,36.7,4.2,36.7,19.2,3.3,0,0,50,33.33333333,283.634,0.01,78.34916667,0.679983535,164.73,19.13,0,0,0,17,2,0,0,0,0,0,4,19,44,0,0,0,49,0,0,0,0,0,0,0,2,3,3,0,17,0,160,10,26.31883562,26.3,9.289093571,2.7,62.3,59.6,0.352944701,0.004265855,17.2814726,17.345,2.424795289,7.89,24.46,16.57,0.140311844,-0.001197719,15.66533105,15.585,2.974323607,5.78,26.25,20.47,0.18986663,-0.001197146,29.31598174,28.8,9.569216499,2.4,73.7,71.3,0.326416375,0.004608611,290.3202854,291.62,11.2886881,259.35,314.91,55.56,0.038883566,0.000720876,87.70189498,88.885,7.465140055,51.46,100,48.54,0.085119484,-0.006019485,0.747035388,0.698,0.519066934,0.041,4.029,3.988,0.694835803,8.44E-05,277.9856621,278.345,10.69257285,250.76,297.48,46.72,0.038464476,0.000581515,42.28187215,40.97,10.98350725,12.98,78.87,65.89,0.259768707,-0.000770843,0.006621417,0.005383,0.004208434,0.000759,0.017393,0.016634,0.635579093,-7.65E-08,2.280833333,1.35,2.590390014,0,13.31,13.31,1.135720868,0.000503395,4.739611872,4.83,2.6330752,0.36,16.05,15.69,0.555546587,0.000370455,3.427819635,3.385,2.016353442,0.25,11.02,10.77,0.588232071,0.000224437,180.6286187,185.1,76.15891965,59.29,321.27,261.98,0.42163263,0.003474415,187.3672374,186.85,43.0730614,50.6,322.2,271.6,0.229885769,-0.008996392,4.697773973,4.68,0.773747448,2.62,7.22,4.6,0.164705125,0.000251372,4.563356164,4,2.49456801,0,10,10,0.546652052,0.002640129,4.886415525,5,1.44513368,0,10,10,0.295745147,0.000594408
8,TX,33.722903,-95.987208,6.1,7.52,4.54166,57.58333,33.33333333,66.66666667,0,45,55,0,0,0,0,0,100,66.66666667,8.078,0.23,2.491666667,0.681090311,5.15,0.65,0,0,0,0,0,0,0,0,0,0,0,6,20,0,0,0,50,0,0,5,0,0,0,0,0,0,0,0,0,0,81,4,25.21997717,24.9,8.925663348,5.4,59,53.6,0.353912428,0.003771542,17.4311758,17.485,2.447359561,8.18,24.84,16.66,0.14040129,-0.00117389,15.79734018,15.7,2.988744697,5.82,26.2,20.38,0.189192906,-0.001173717,28.74908676,28.2,9.453560446,2.4,74.7,72.3,0.328829939,0.004373979,290.6168379,292.065,11.25610801,259.46,314.95,55.49,0.038731782,0.000685801,88.3509589,89.37,7.516775379,52.07,100,47.93,0.085078594,-0.005959197,0.752883562,0.7075,0.518593541,0.041,4.019,3.978,0.688809754,7.73E-05,277.9734132,278.36,10.63492833,250.79,297.32,46.53,0.038258797,0.000558805,42.00538813,40.79,10.90501072,13.23,79.16,65.93,0.259609807,-0.000458387,0.00667654,0.0054205,0.00424502,0.000767,0.017629,0.016862,0.635811437,-4.54E-08,2.297317352,1.39,2.622231046,0,15.63,15.63,1.141431785,0.000549692,4.718127854,4.81,2.592355404,0.37,15.98,15.61,0.549445773,0.000330377,3.420593607,3.46,1.99306248,0.25,10.98,10.73,0.582665674,0.00020291,180.9749429,185.145,76.03318602,61.05,319.19,258.14,0.420131013,0.003605156,186.6908676,186.9,42.85534934,50.2,321.1,270.9,0.229552468,-0.010759371,4.571347032,4.565,0.772635597,2.6,7.01,4.41,0.169017052,0.000233956,4.482876712,4,2.421305535,0,10,10,0.54012316,0.002419786,4.872716895,5,1.443793967,0,10,10,0.296301632,0.000527162
9,TX,33.744233,-95.960811,12.1,7.98,6.2,30.75,50,33.33333,16.66667,92.5,3.8,2,0,0,1.7,0,83.333333,0,968.129,0.02,286.4575,0.680706024,596.12,73.88,0,0,1,1,27,0,0,0,0,0,0,0,170,0,0,0,42,0,0,0,0,0,0,0,0,0,1,0,26,0,268,7,24.95262557,24.65,8.738755591,5.4,57.7,52.3,0.350213871,0.004218024,17.44966895,17.5,2.445211237,8.3,24.97,16.67,0.140129377,-0.001115786,15.80305936,15.715,2.982651972,5.88,26.27,20.39,0.188738896,-0.001126245,28.70490868,28.2,9.428083286,2.7,73.9,71.2,0.328448468,0.004412301,290.5179452,291.93,11.21839072,259.38,314.79,55.41,0.038615139,0.000605591,88.20537671,89.26,7.552926795,52.37,100,47.63,0.085628871,-0.006083855,0.746850457,0.7035,0.511706534,0.04,3.97,3.93,0.685152602,7.38E-05,277.9699543,278.315,10.62081331,250.85,297.24,46.39,0.038208494,0.000552413,42.2751484,41.035,10.9994435,13.51,78.53,65.02,0.260186987,-0.000208134,0.006662239,0.0053635,0.004251885,0.00077,0.017694,0.016924,0.638206728,-4.99E-08,2.312945205,1.395,2.608172133,0,14.3,14.3,1.127641125,0.00053247,4.650034247,4.755,2.546210072,0.35,15.73,15.38,0.547568026,0.000301415,3.383869863,3.42,1.969152804,0.25,10.85,10.6,0.581923325,0.000189632,180.9226027,184.84,76.04565054,61,319.29,258.29,0.420321449,0.003656501,184.2808219,184.4,42.85948633,50.5,320.2,269.7,0.23257703,-0.012559898,4.449303653,4.43,0.75838605,2.57,6.79,4.22,0.170450504,0.000224088,4.410958904,4,2.322230956,0,10,10,0.526468509,0.00218763,4.853310502,5,1.427430395,0,10,10,0.294114789,0.000507142
10,TX,33.733841,-95.968054,6.8,7.44,2.61666,16.833333,0,66.66667,33.33333,84.6,0,7.1,0.8,5.8,1.7,0,100,16.666667,103.079,0.99,28.92833333,0.662733565,64.44,8.31,1,0,0,0,0,0,0,0,0,0,1,13,94,0,0,0,19,0,0,5,0,0,0,0,0,1,0,0,0,0,134,7,24.95262557,24.65,8.738755591,5.4,57.7,52.3,0.350213871,0.004218024,17.44966895,17.5,2.445211237,8.3,24.97,16.67,0.140129377,-0.001115786,15.80305936,15.715,2.982651972,5.88,26.27,20.39,0.188738896,-0.001126245,28.70490868,28.2,9.428083286,2.7,73.9,71.2,0.328448468,0.004412301,290.5179452,291.93,11.21839072,259.38,314.79,55.41,0.038615139,0.000605591,88.20537671,89.26,7.552926795,52.37,100,47.63,0.085628871,-0.006083855,0.746850457,0.7035,0.511706534,0.04,3.97,3.93,0.685152602,7.38E-05,277.9699543,278.315,10.62081331,250.85,297.24,46.39,0.038208494,0.000552413,42.2751484,41.035,10.9994435,13.51,78.53,65.02,0.260186987,-0.000208134,0.006662239,0.0053635,0.004251885,0.00077,0.017694,0.016924,0.638206728,-4.99E-08,2.312945205,1.395,2.608172133,0,14.3,14.3,1.127641125,0.00053247,4.650034247,4.755,2.546210072,0.35,15.73,15.38,0.547568026,0.000301415,3.383869863,3.42,1.969152804,0.25,10.85,10.6,0.581923325,0.000189632,180.9226027,184.84,76.04565054,61,319.29,258.29,0.420321449,0.003656501,184.2808219,184.4,42.85948633,50.5,320.2,269.7,0.23257703,-0.012559898,4.449303653,4.43,0.75838605,2.57,6.79,4.22,0.170450504,0.000224088,4.410958904,4,2.322230956,0,10,10,0.526468509,0.00218763,4.853310502,5,1.427430395,0,10,10,0.294114789,0.000507142
