,SiteN,C_anomalum_count,DO,pH,avg_WW,avg_Depth,pf_Pool,pf_Run,pf_Riffle,pb_Mud,pb_Sand,pb_SmGravel,pb_LgGravel,pb_Cobble,pb_Boulder,pb_Bedrock,pft_Macrophytes,pft_Wood,upstreamCumDA_km2,slopePercent,avgMonthFlow_cfs,CV_flow,maxMonthFlow_cfs,minMonthFlow_cfs,population_score_raw,population_score
0,1.0,1.0,0.45,0.26,0.17,0.34,0.0,1.0,0.33,0.48,0.0,0.23,0.32,0.28,0.2,0.18,0.83,0.17,0.03,0.19,0.03,0.54,0.03,0.03,1.0060000000000002,0.581
1,2.0,0.0,0.0,0.33,0.02,0.4,0.6,0.24,0.4,0.77,0.35,0.1,0.0,0.0,0.0,0.0,0.6,0.4,0.01,0.19,0.01,0.57,0.01,0.01,-1.961,0.23
2,3.0,0.0,0.22,0.43,0.45,0.75,0.67,0.4,0.0,0.58,0.76,0.0,0.0,0.0,0.0,0.0,0.83,1.0,0.07,0.02,0.07,0.42,0.07,0.08,-3.51,0.047
3,4.0,36.0,0.24,0.51,0.41,0.25,0.0,0.8,0.67,0.2,0.24,0.88,0.57,0.32,0.0,0.0,0.5,0.83,0.33,0.05,0.3,0.48,0.31,0.29,3.5619999999999994,0.884
4,5.0,0.0,0.18,0.39,1.0,0.63,1.0,0.0,0.0,0.95,0.0,0.04,0.0,0.06,0.05,0.0,1.0,1.0,1.0,0.0,1.0,0.48,1.0,1.0,-3.904999999999999,0.0
5,6.0,0.0,0.01,0.31,0.34,0.41,0.0,1.0,0.33,0.9,0.18,0.0,0.0,0.0,0.0,0.0,0.33,1.0,0.36,0.04,0.34,0.48,0.34,0.33,-1.355,0.302
6,7.0,17.0,0.27,0.55,0.47,0.4,0.0,0.6,1.0,0.37,0.08,0.92,0.49,0.11,0.0,0.0,0.5,0.33,0.26,0.0,0.24,0.48,0.24,0.23,3.909,0.925
7,8.0,0.0,0.13,0.41,0.1,0.95,0.33,0.8,0.0,0.45,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.67,0.0,0.11,0.0,0.48,0.0,0.0,-2.8679999999999994,0.123
8,9.0,1.0,0.55,0.54,0.19,0.47,0.5,0.4,0.33,0.92,0.07,0.05,0.0,0.0,0.05,0.0,0.83,0.0,0.88,0.0,0.88,0.48,0.88,0.88,-1.9540000000000002,0.231
9,10.0,0.0,0.18,0.39,0.0,0.22,0.0,0.8,0.67,0.85,0.0,0.18,0.02,0.2,0.05,0.0,1.0,0.17,0.09,0.48,0.09,0.39,0.09,0.1,0.5260000000000001,0.525
10,11.0,3.0,0.62,0.34,0.05,0.31,0.33,0.4,0.67,0.02,0.0,0.4,0.51,0.94,0.95,0.0,0.0,0.0,0.0,0.49,0.0,0.38,0.0,0.0,2.729,0.785
11,12.0,2.0,0.33,0.23,0.16,0.39,0.5,0.2,0.67,0.09,0.06,0.46,0.36,0.43,0.26,0.43,0.33,0.0,0.03,0.3,0.02,0.38,0.03,0.03,1.7910000000000006,0.674
12,13.0,24.0,1.0,0.47,0.14,0.57,0.17,0.6,0.67,0.1,0.18,0.67,0.38,0.8,0.18,0.11,0.0,0.0,0.01,0.33,0.01,0.38,0.01,0.01,2.612999999999999,0.772
13,14.0,0.0,0.15,0.52,0.23,0.42,0.33,0.4,0.67,0.64,0.03,0.48,0.32,0.09,0.0,0.0,0.83,0.17,0.08,0.07,0.06,0.45,0.06,0.07,0.9729999999999999,0.578
14,15.0,0.0,0.22,0.48,0.19,0.37,0.17,0.6,0.67,0.11,0.0,0.73,0.51,0.16,0.07,0.42,1.0,0.33,0.01,0.2,0.01,0.46,0.01,0.01,3.319,0.855
15,16.0,53.0,0.42,0.21,0.05,0.0,0.0,0.8,0.67,0.0,0.01,0.2,0.28,0.28,0.2,0.83,1.0,0.17,0.0,0.3,0.0,0.47,0.0,0.0,2.8060000000000005,0.795
16,17.0,0.0,0.05,0.34,0.08,0.62,0.75,0.0,0.5,0.86,0.14,0.11,0.05,0.0,0.0,0.0,0.25,1.0,0.0,0.17,0.0,0.5,0.0,0.0,-2.4130000000000007,0.177
17,18.0,0.0,0.31,0.45,0.03,0.05,0.0,0.8,0.67,0.62,0.52,0.18,0.04,0.0,0.0,0.0,0.17,0.67,0.01,0.14,0.01,0.49,0.01,0.01,0.3340000000000001,0.502
18,19.0,0.0,0.24,0.44,0.19,0.3,0.29,0.34,0.86,0.83,0.0,0.22,0.17,0.02,0.02,0.0,0.57,0.57,0.45,0.01,0.52,0.53,0.51,0.54,0.2160000000000003,0.488
19,20.0,54.0,0.1,0.45,0.02,0.46,0.33,0.4,0.67,0.04,0.11,0.89,0.79,0.37,0.32,0.01,1.0,0.0,0.01,0.44,0.0,0.38,0.0,0.01,3.8120000000000007,0.914
20,21.0,17.0,0.2,0.45,0.28,0.28,0.17,0.6,0.67,0.02,0.26,1.0,0.79,0.34,0.07,0.03,0.83,0.33,0.08,0.07,0.06,0.53,0.07,0.07,4.2330000000000005,0.964
21,22.0,0.0,0.2,0.43,0.25,0.73,0.5,0.4,0.33,0.16,0.05,0.38,0.53,1.0,0.25,0.1,0.83,0.17,0.04,0.16,0.03,0.41,0.03,0.03,0.7640000000000001,0.553
22,23.0,0.0,0.22,0.0,0.08,0.3,0.17,0.6,0.67,0.18,0.06,0.71,0.83,0.6,0.02,0.0,0.67,0.5,0.01,0.5,0.0,0.39,0.0,0.0,3.3649999999999993,0.861
