33.741217,	-95.927376
33.717896,	-95.911323
33.747466,	-96.019146
33.554952,	-96.169601
33.823594,	-95.861067
33.603081,	-96.139938
33.540313,	-96.179298
33.722903,	-95.987208
33.744233,	-95.960811
33.733841,	-95.968054
33.807445,	-96.563396
33.791701,	-96.567376
33.791936,	-96.530699
33.636749,	-96.435176
33.48,	-96.341
33.496,	-96.388
33.642,	-96.181
33.664,	-96.181
33.871,	-95.544
33.756,	-96.521
33.609,	-96.605
33.81	,-96.678
33.784	,-96.594
33.505	,-94.29
33.511	,-94.138
33.503	,-94.415
33.565	,-94.555
33.658	,-94.689
33.791	,-95.443
33.857	,-95.037
33.78,	-94.927
33.717,	-96.569
33.58	,-96.619
33.671	,-96.715
34.321	,-96.707
34.36	,-96.788
34.085386,	-96.731884
34.061	,-94.476
34.064	,-94.645
34.076	,-94.852
34.528	,-95.489
34.345	,-95.634
34.02	,-95.361
34.607396,	-96.558086
34.329359,	-96.419486
34.485	,-95.983
